"Item name","Price Seq","Price 1"
207880,24,""
207881,44,""
207892,17,""
207893,34,""
207977,1,""
207265,16,""
207266,13,""
207267,16,""
207269,16,""
207270,16,""
207272,16,""
207273,16,""
207274,16,""
207275,16,""
207276,16,""
207277,17,""
207278,29,""
207279,26,""
207448,17,""
207280,29,""
207449,34,""
207282,29,""
207283,29,""
207285,29,""
207286,29,""
207287,29,""
207288,29,""
207289,29,""
207290,34,""
207382,16,""
207383,29,""
207467,16,""
207468,29,""
207715,4,""
207716,5,""
207717,5,""
207718,5,""
207719,4,""
207555,16,""
207556,29,""
207720,5,""
207721,4,""
207722,5,""
207723,4,""
207725,5,""
207726,5,""
207566,24,""
207567,44,""
207819,17,""
207577,17,""
207578,34,""
207820,34,""
207828,17,""
207829,34,""
207833,5,""
207720,5,""
207721,4,""
207722,5,""
207723,4,""
207725,5,""
207726,5,""
207566,24,""
207567,44,""
207819,17,""
207577,17,""
207578,34,""
207820,34,""
207828,17,""
207829,34,""
207833,5,""
207880,24,""
207881,44,""
207892,17,""
207893,34,""
207977,1,""
207265,16,""
207266,13,""
207267,16,""
207269,16,""
207270,16,""
207272,16,""
207273,16,""
207274,16,""
207275,16,""
207276,16,""
207277,17,""
207278,29,""
207279,26,""
207448,17,""
207280,29,""
207449,34,""
207282,29,""
207283,29,""
207285,29,""
207286,29,""
207287,29,""
207288,29,""
207289,29,""
207290,34,""
207382,16,""
207383,29,""
207467,16,""
207468,29,""
207715,4,""
207716,5,""
207717,5,""
207718,5,""
207719,4,""
207555,16,""
207556,29,""
207449,34,""
207282,26,""
207283,26,""
207285,34,""
207286,34,""
207287,34,""
207288,34,""
207289,34,""
207290,34,""
207382,17,""
207383,34,""
207467,13,""
207468,26,""
207715,3,""
207716,4,""
207717,5,""
207718,4,""
207719,3,""
207555,13,""
207556,26,""
207720,5,""
207721,4,""
207722,4,""
207723,4,""
207725,5,""
207726,5,""
207566,24,""
207567,44,""
207819,17,""
207577,17,""
207578,34,""
207820,34,""
207828,17,""
207829,34,""
207833,5,""
207880,24,""
207881,44,""
207892,17,""
207893,34,""
207977,2,""
207265,17,""
207266,13,""
207267,13,""
207269,13,""
207270,13,""
207272,17,""
207273,17,""
207274,17,""
207275,17,""
207276,17,""
207277,17,""
207278,34,""
207279,26,""
207448,17,""
207280,26,""
207448,17,""
207280,26,""
207449,34,""
207282,26,""
207283,26,""
207285,34,""
207286,34,""
207287,34,""
207288,34,""
207289,34,""
207290,34,""
207382,17,""
207383,34,""
207467,13,""
207468,26,""
207715,4,""
207716,5,""
207717,5,""
207718,5,""
207719,4,""
207555,13,""
207556,26,""
207720,5,""
207721,4,""
207722,5,""
207723,4,""
207725,5,""
207726,5,""
207566,24,""
207567,44,""
207819,17,""
207577,17,""
207578,34,""
207820,34,""
207828,17,""
207829,34,""
207833,5,""
207880,24,""
207881,44,""
207892,17,""
207893,34,""
207977,1,""
207265,17,""
207266,13,""
207267,13,""
207269,13,""
207270,13,""
207272,17,""
207273,17,""
207274,17,""
207275,17,""
207276,17,""
207277,17,""
207278,34,""
207279,26,""
207265,17,""
207266,13,""
207267,13,""
207269,13,""
207270,13,""
207272,17,""
207273,17,""
207274,17,""
207275,17,""
207276,17,""
207277,17,""
207278,34,""
207279,26,""
207280,26,""
207448,17,""
207449,34,""
207282,26,""
207283,26,""
207285,34,""
207286,34,""
207287,34,""
207288,34,""
207289,34,""
207290,34,""
207382,17,""
207383,34,""
207467,13,""
207468,26,""
207715,4,""
207716,5,""
207717,5,""
207718,5,""
207719,4,""
207555,13,""
207556,26,""
207720,5,""
207721,4,""
207722,5,""
207723,4,""
207725,5,""
207726,5,""
207566,24,""
207567,44,""
207819,17,""
207577,17,""
207578,34,""
207820,34,""
207828,17,""
207829,34,""
207833,5,""
207880,24,""
207881,44,""
207892,17,""
207893,34,""
207977,1,""
207974,12,""
207975,23,""
207976,62,""
207974,12,""
207975,23,""
207976,62,""
207974,12,""
207975,12,""
207976,12,""
207974,10,""
207975,19,""
207976,52,""
207974,10,""
207975,19,""
207976,52,""
